sentence,emotion
okay lamang ka takot mage ayos pikit mo lamang mata mo dito lamang,sadness
wala gise mo pasensiya iwan kita lakas tuloy mo protekta buhay mo isa mahal kita,sadness
ganoon mas dali dagdag hiroshi,joy
sapat pahinga bulong higanti,anger
hanap elite patay ama,anger
kana elite reap laban noon gabi si takeshi kita mata tindi galit alam hanap,anger
alam motibo sali gulo ngunit bagay sigurado bahagi pareho kriman patay daandaan inosente tao tawad bagay,anger
mo laban nag todo hindi ba takbo gusali ngiti siguro nga,joy
ingat kayo bigla hayate earpiece pasok kayo lugar taas pressure,fear
oo damdam presensya ingat maari bukas black dimension ora,fear
bayad mo kriman patay tao mura,anger
bata bayad mo kriman angkan sabi mo mana iyan ay,anger
angal si kana titig nang masama humdrum doon rin rin patay,anger
lapit hayate hinga nang luwag,joy
bulong nag panganib,fear
ba sabi mo mura kana tulong taon pumatay⁠ —,anger
damn,anger
ngiti naman narinig yeah alam rason,joy
mo alerto kay kana bukas black dimension lapit kaniya,fear
sana sabi mo muna putok paligid humdrum galit kana titig nang masama si ariel luhod rin,anger
pasensiya gamit mukha buhay ka alala lapit dulo mo kita mukha,sadness
kana usap kalma pagmamakaawa,sadness
mukha mukha nanay mo nagagamit,anger
sigaw nang daplis punyal pisngi sawa laro mo,anger
mo mas husay diyan bata,anger
ayos lamang mage okay malumanay tingin direksyon,joy
ngiti si ariel oo lamang,joy
kamit higanti bulong sama rin pamilya ppasensya,sadness
ngunit alam lamang angkan ninyo salot alam lamang,sadness
senshin lamang erityian shinigami pasensiya dusa,sadness
intindi salamat sabi lipat tingin kay kana salamat bait mo magulang mo angkan mo laki,joy
alam iyak alam,sadness
okay bulong para kumbinsi okay puwede pahinga,sadness
pasensiya pasensiya,sadness
ligta tatlo tao patay daandaan diri medyo hinga rin nang luwag ligta pamilya siguro nag halimaw berde mata kriminal,sadness
alam sana patay lamang noon nga alam buhay,sadness
tapos niyo hirap,sadness
ka masyadong alala puna luha mata mukha mage okay,sadness
ngiti turo puno atin negosyo,joy
sana puwede tagal bulong tingin,sadness
puwede alam mo naman dito lamang persona bagay gawa,sadness
lagpas tao ako dito totoo lamang saya talaga buhay dito halos limot buhay labas campus,sadness
alam hirap hirap tanggap paalam kaibigan alam loko lamang ba mata kita lungkot mukha mo,sadness
tawa kana god j clingy mo do worry ill contact later,joy
ganoon paalam muna,sadness
well balik ngalan kana alternatibong ngalan lamang puwede mo niyo rin ako tawag ngalan,joy
bukod bango kanji agos buhay paliwanag ka buhay laya hayaan ora mo daloy,joy
iyan abot kamay miss away atin,joy
trip mo naman hayate ngiti taka tanim galit laki,joy
wala si kana lamang gulo sawa,joy
higit dekada noon gabi magulang patay harap sapat magkaroon bangungot arawaraw ngunit sisi rin protekta kapatid,sadness
tingin mo ba ayos lamang sina mom dad tanong krystal anim taon gulang tuwe gulo labas bahay,sadness
pilit ngiti sabi oo naman lakas talaga lakas,sadness
ka alala pangyayari man tanggol kita gamit buhay lagi ako nasa tabi mo ayos lamang ba,joy
saya siya tango sandali damdam papaano sama isa,joy
ngunit kuha,sadness
winter protekta mo kapatid mo pangako mo,fear
si winter alveria mas lalo higpit hawak leeg pinuno pamilya alveria balang araw bawi kuha angkan mo,anger
huwag awa huwag mo patay,fear
patay lagablab apoy taas braso huntre muli atin kuhatin karapatan,anger
krystal sigaw lakas tibok puso takot pangyayari,fear
usap bulong iyak krystal,sadness
para hila puso iyak noon sama kita siya protekta lakas manatili protekta wala,sadness
bawi bulong layo pillar flame pangako,anger
patay magulang iyak higpit hawak kutsilyo puti kamao,anger
kapatid halos kasi edad mo protekta isip gulat nang damdam urong bata lalaki narinig ayaw nang danas ulit sakit,sadness
dalawa taon lipa linaw rin patay pierre,fear
wind attribute manipula hangin paligid likha bilang superior mirage tawa dito,joy
simula gapang nginig katawan nood bago mata iba iba kulay kayumanggi lila asul,fear
ayos ba malumanay tanong,joy
totoo lamang sagot gulo rin alam nga alam dapat ba talaga ako dito,fear
oh mo pala gamit inner voice tingin si isaz ngiti labi lakas loob mo ngunit sabay katawan mo,joy
mo iwan balik,sadness
panaginip kapatid ganoon ekspresyon mukha sakit puso,sadness
simula siya lakad layo sakit nood gaano bagal lakad,sadness
taas mo ba bose tanong para tunog bala,anger
noon araw si hilda pinakanakakatakot tao,fear
nginig ngisi wala ko,fear
tanong puno galit,anger
saya buhay rin leo,joy
pasensiya ngiwi leo,sadness
minerva patay nginig bose sakripisyo ligta takot apoy,sadness
ayaw buhay anak pareho buhay nang normal anak alam imposible tuparin hile,sadness
ngiti nang lungkot bigo siya protekta ama master iyon tipo tao sarili ka alala sigurado date tama sama atin,sadness
rin sigurado siya tuloy bantay,joy
huntre tawag si winter alveria anak ark apo lord ivankov lady yllka ngalan ninuno pangako date lamig tapos impyerno,joy
tigil winter utos dito takot tono lamang tanto hati loob kubo yelo,anger
mali bulong ayaw ulit,fear
panganay kapatid nnagmakaawa kay allen tigil sunog nayon timog halimaw pigil kaniya luha,sadness
subok magpatangay takot halata sunog buhay,fear
bigla siya ngiti bagay asa tunay pinuno tribo huntre lady winter,joy
gana naman kinang mukha,joy
alam talaga kapatid litaw lungkot ngunit lungkot ngiti mukha si kelsey buhay ligta,sadness
hoy balabal sigaw tanda ba halika nga dito tanda,anger
sala mo sigaw,anger
ano pangyayari hina tanong hawak braso dala,fear
hindi yelo sabog lamang niyebe hinahon lady winter bura mo,fear
masama tingin halos siya gawin yelo sana dito si hale least kontrol bata,anger
isaz tawag nginig bose usap tulong mo ayaw ayaw siya wala ulit,sadness
ka alala alaga,joy
upang simulan digmaan deklara alam kaalyado loob bilang buwan salakay atin white division bawi atin karapatan tapos trahedya,anger
mom dad bulong titig isa litrato namin pamilya higanti rin patay,sadness
mo ako patay padyak kanan paa yelo apoy paligid bawi kuha mo,anger
kampi kaalyado sigaw titig nang masama si pierre,anger
upang bawi lugar dangal payapa huntre division bulala patay sunod,anger
mo liit apoy bata,anger
ka patay usap,sadness
pasensiya glace ungol dad uumalis hanap mo anak atin protekta mo,sadness
tapos bulong mom dad tapos,joy
pangyayari man tanggol kita gamit buhay lagi ako nasa tabi mo pasensiya piyok bose pasensiya sira pangako pasensiya iwan inyo tawad mo,sadness
mo kilala tanong kinang mata,joy
pasensiya ako iba pamilya hintay,sadness
ba dunong katok maktol,anger
una taon ngiti harap laki madla,joy
uwi malumanay,joy
taon damdam lamang puro saya galit,joy
tingin mugto mata halonh alala tuloy himas jett baril,anger
agad iba timpla paligid banggit ngalan damdam kirot dibdib galit nang alala pangyayari noon kay nox,sadness
keeper protekta grupo ngunit halos patay kulang,sadness
tiwala diyos ngunit una taon tahimik ako dasal lamang siya gise ayos alis,fear
punta sana banyo tanggap mensahe kay command priam agad ako opisina,fear
agent naia tawag sigurado ba mo,sadness
tango nang isip tangi pinuno tribo kapangyarihan pasok shima labas ngunit abala asikaso resulta bagsak nox taon tirahan nang tagal rin hile dala kriminal lugar,fear
totoo lamang medyo gulat alam nakaraan,fear
nang ako date sigurado ako bago pagkatao upang iwa alam koneksyon shima salamat lamang tanong,joy
marami execute mo escort masyadong delikado hawak nang isa,fear
titig gamit nang mangha talaga taas laro senshin custos larangan,sadness
ingat balik nang buhay saludo,fear
masdan gamit lakad kwarto nang pigura tayo pinto,joy
mo ba check iyan tanong turo baril suksok baywang,anger
tahimik ako sundan jett nang pasok kwarto manatili siya tayo ako upo gilid kama,fear
isa talaga punta hina oo isa diin,sadness
sabi nina cliff jett nang lakas dati alam sama ngunit hirap lakbay sama outsider ayaw panganib buhay,fear
tiga sabi kayo tagal minuto,anger
iglap dulo espada dikit leeg siya nanatili tayo patak pawis tulo mukha,fear
mo kaya tanggol mo talaga,anger
pata iyan reklamo handa,anger
baba espada ngiti handa una patay kuha bagahe masyadong miss,sadness
handa ako alis silid ngunit hinto nang kinig tawag ngalan,fear
naia nang harap huli baril tapon direksyon ingat mo ngiti bakas labi nang kinig linya,joy
ako keeper manatili buhay manatili koponan patay,anger
ngiti mukha untiunting wala lakad layo lugar kupkop bata upang balik lugar sumpa gulo,fear
wala ora ako padpad nang bilang araw gitna dagat kabutihan palad sapat rin suplay kalma dagat,joy
sigurado gise si nel ora isip galit mukha tanong sina cliff jett,fear
ngiti taka labi alala buhay cia dali ngunit mas kaunte alala kumpara punta,joy
shima tagal nang paksa mito usap erityian tiwala totoo date patay,sadness
alala panahon handa executioner patay shinigami kulong alintana dusa administrasyon konseho,fear
si ise pinuno angkan jikko sumpa patay shinigami dulot dusa apo,anger
naia mo hayaan sino basa isip lagi sabi vince noon bata,fear
gamit isip alaala,fear
buntunghininga higit dekada simula nang siya panaw ngunit sakit nanatili rin loob miss,sadness
balik alaala nang bigla dilim linaw langit tubig itim loob bilang segundo balot kapal ulap,sadness
bulto tanaw buhos nang damdam haplos hamog balat,sadness
laho ulap litaw pamilyar isla tahimik tamasa kanina palit sigaw hikbi dusa sakit,sadness
puno bakal masangsang amoy hangin amoy dugo patay,fear
ngisi oo akala limot mo,joy
lalaki suot itim hawak laki itak litaw harap mukha rin siya maliban dagdag guhit mukha,fear
si farallon tinag nang dala vince manatili siya emosyon,fear
nang patay si vince mukha ekspresyon ngunit mata puno galit,anger
nang damdam bata,joy
kamusta tanong ako lakad tungo dalampasigan,joy
dito tanong nang sagot,anger
kabila pagaalinlangan sabay punta gubat narinig pamilyar alulong nina shira hyora bantay una linya depensa isla,fear
hey ngiti lapit leon leopard miss niyo ba kaibigan,joy
wala ako kaibigan edad lugar executioner abala trabaho misyon kaibigan,sadness
katutubo isla aristus puwedeng makipagkulitan panganib hayop,joy
nang bago dito farallon daan gubat,sadness
lagi dilim gubat dahon puno humaharang sikat araw,sadness
alala ligaw noon bata tagpo farallon masama lagay,sadness
sadya nadapuan braso dahon lason halaman dulot tulala,fear
kamandag insekto ingay paligid dahon patay halaman sayaw hangin,fear
tagal kami labas gubat kapal putik,joy
sugat farallon dugo tulo daliri tagas laki bato hanggan gubat,sadness
mabahong amoy sapat upang dulot hilo ngunit karaniwan tirahan isla,fear
bilang executioner hinto sulyap lakad tabi farallon nakatatanda kilala bata pula mata,joy
naia tawag ba iyan naia,joy
yuma sagot mukha tanda,joy
hugot espada bili pigil atake bilang executioner tipon paligid sigaw bati huli salakay,fear
bili sigla rin kabila edad damdam sugat balat daloy dugo braso tama hiwa pisngi tila mas tuwa,joy
buwisit bata mas buti pa mo ako liit ngiti sugod,anger
noon sandali taas balahibo damdam tindi pagnanasa dugo,fear
handa una patay,sadness
alala sabi kay jett sumpa pagige masyadong awa shima lugar sama patay isat nang isip,fear
wala tingin sunod alam dulo espada siksik kanan balikat,anger
pigil sakit hawak espada,anger
sipa leeg kamay dugo hawak talim,anger
puwersa dulot upang wala balanse hawak espada agad ito hila katawan,fear
upo si yuma tawa nang lakas tingin,joy
shit masama tawa kita patay,anger
handa siya atake ngunit bigla tahimik damdam tindi hangin paligid dahil upang nginig katawan takot,fear
hala iyon bulong,fear
gitna tahimik narinig bigat yapak lapit direksyon nagbigaydaan executioner lalaki puti lakad tungo,fear
punit balabal sayaw ugong hangin babae labis pamilyar nang alam alala kuwento nel senshin mata shinigami custos,fear
hanggat alala si lionel lider wala isa mana ise nang patay si vince sigurado ako ganoon hitsura lionel noon alis shima,sadness
bata mo ngalan utos ako gulat nang kinig tinig,fear
ah anak diona heron ikot tiyan bahala nang kinig ngalan magulang,anger
dahan alis saklob halos tiga titig tindi lamig berde mata titig nang diretso,fear
hala tanong nginig bose takot,fear
tawa nang lakas ba tanong tawa bagay,anger
miyembro jikko branch clan sagot man lamang usap tanda tao upang mana posisyon,sadness
bilang executioner halata komportable tapos kinig lait kay ise rin inis si ise galang tao pulo,anger
sumpa ako hanap patay shinigami ngunit kulong lugar,anger
pula galit atra damdam panganib galit,fear
putang ina gago konseho tanda duwag,anger
dad kalma babae,fear
tatlo ora nang date shima ngunit alam pangyayari tapos patay sina ise vince,sadness
yakap shira narinig hina tunog para hingi pansin,sadness
man rin bago tawa haplos buhok,joy
manatili dalampasigan pulo desisyon bilanggo lipat gamit teknolohiya senshin custos,fear
buntunghininga titig lawak dagat,sadness
abot sandata lingon bata babae hala mukha nga,fear
lapit direksyon simula angal si shira,anger
kalma,anger
upo babae tabi tingin kulay abong langit ngiti para totoo talaga bawa ingat,joy
alam mo nang ako date akala patay taon totoo,fear
rin dala kriminal nox sabi ginoo hideo ako handa tapak akala reputasyon pulo,fear
sulyap akit mata ningne mata pareho ganda suka,joy
atake executioner sandali date rin ako mandirigma ngunit lakas nasa iba anta ako laban huntre instinct senshin takot talaga,fear
ngiti nang kinig puri jikko clan gaan damdam,joy
plano iwan kriminal maghatid balita balik tantei high ngunit bago nang date lider upang kita,fear
talaga gulat komento,fear
tawa tugon naman talaga lakas tiga ulo tatay butod puso alam buhay kabila lista wala rekord senshin,sadness
kyo huh tangi sabi ingat bangkay great seven propesor,fear
ngunit asa kita hilig tatay posisyon,anger
totoo lamang rin jikko noon noon namatay si vince una pamilya mana upang palit harap pinuno,sadness
tingin kunot noo sigurado tama narinig,anger
ha ano mo,fear
ngalan buhay alaala alala babae dala vince nang balik sandali sandali ngunit una kaibigan,sadness
pigil hagulgol narinig si vince nathalie anak,sadness
kriminal tukoy mo tanong ngunit para utos sabi,anger
hirap manatili pagige kalma harap kyo presensya sapat upang damdam nakatataas posisyon lakas,fear
tira lawa dugo lupa buwitre tahimik lutang executioner handa laki palayok kumukulong langis ayos bilang kawayan poste,fear
hirap,anger
itsura mukha halo duwal lito galit,fear
kabila bihag paa kamay simula sugod tao paligid mali hangal hakbang,anger
,anger
talaga hangal humdrum,anger
bilang bilang erityian rin hangal,anger
ano damdam ganiyan asar yuma turo itak leeg execute miyembro niyo laro taon gulang jikko,anger
traydor mo yuma dulo itak baon balat eerie dala hiya tribo senshin,anger
mutla balat nang kinig pamilyar bose nang lingon si lionel lapit direksyon,fear
tapos linis rei level ulat kay kyo,joy
buti tugon si kyo si lionel direksyon nox tiwala rin komento,joy
siyempre karibal vince simula bata lakas dahil,sadness
tama tawa date potensyal mas taas bata,joy
kilabot nang damdam lakas presensya nang tingin wala ngiti palit dilim ekspresyon,fear
sige asa kita,joy
tahimik siya alis iwan ako isa ugnay cia ngunit bawal komunikasyon labas pulo,sadness
maga ora nang date tuloy rin ako kapa tindi bose loob isip,fear
lalo humusay kinig naririnig sigaw ungol bilangguan pagod ngunit sanay ganito pagod noon bata,joy
bigla alala halos wala nathalie alaala tinig,sadness
talaga takot,fear
bulong isip sigaw sakit hikbi dusa isip tingkad sandali,sadness
tingin si nathalie direksyon kaunte gulat mukha ngunit bilang segundo ngiti para wakas kilala,joy
tingin mata lalaki tabi hinto nang mukha,fear
pikon bulong kyo ako tingin mukha dalawa bata,anger
tawa si nathalie alam mo sir kyo sige si hideo laki medyo kuha persona,joy
bata tingin lalaki,anger
talaga naman tapang iyan,anger
ngiti si kyo para hanap lamang tao laro,joy
sobra ingay naman,anger
nanatili tingin mukha kayo kaya nathalie,anger
una taon tao labis naapektuhan isip loob bose tao kabila kaya hadlang,sadness
maririnig mo loob tinig sarado isip ba tango,fear
sigurado ba mo tiis hirap sakit hirap dumal brutal isip bilanggo radikal paraan isip executioner,fear
ngiwi man sagot tanong alam tinig tiyak dulot kirot sakit isip,sadness
titig bilang segundo sigurado bay kumpiyansa mangmang,sadness
gitna tahimik naririnig hina tinig sigaw hirap desperasyon bilanggo,sadness
loob split segundo binunot espada wasiwas direksyon,anger
bigla lito mukha siya talon atra iwa malubha hiwa leeg bawi espada tingin,anger
mukha hasa instinct iwa puna dahan agos dugo leeg,joy
bata jikko kilala laban iwa tingin handa mana ngalan,anger
salita tila tatak itsura mata agad bago,fear
huli ako isip segundo siya sakto vince galit,fear
bata para bilang taon lamang tanda mo tanong,anger
tawag bata mas hina sagot paliwanag damdam tuwa,joy
akala insulto tao kaya talo mage ganito saya sina jett cliff lagi suko man saya usap,joy
man abot kamay mang bagay sugod hawak braso,anger
agaw baril bagsak likod tutok putok dalawa bala gilid ulo bilang pulgada lamang tainga,anger
tanaw ba pangyayari buhay mo isip mo asar oh kawawa bata uubra baril taon buhay isla baril mo ngiti lamang bastat silay tayo bastat tira lakas tuloy ngiti silay labi alala larawan patay vince mas pili patay talo,joy
ngiti silay labi alala larawan patay vince,joy
damdam tindi awra likod nang lingon si kyo nathalie lapit direksyon,fear
tingin lalaki kakabangon lamang tuloy titig talo karim sagot,anger
masyadong bagal masyadong hina masyadong emosyonal masyadong sarili ako executioner bigay tiwala tapat tao man lamang kaya tanggol,anger
tawa nang lakas si kyo tila gulo si nathalie,joy
presensya bata bigat dahil bigat executioner bukod kay kyo ngunit mage sapat kaya sabay katawan,fear
diretso ligoy ha iyan komento kyo,joy
ile ayaw bawa bigat salita alam hina siya hina mage kampante,anger
naia tawag nathalie bungad mukha alala,fear
pasensiya nathalie sabi lamang totoo ganoon nang pahinga,sadness
simula ako lakad layo si kyo tuloy rin tawa ngunit nanatili tahimik,joy
sakit salita mas sakit realidad lugar inosensya dulot lamang mas laki hamak iba executioner hamon lamang patay handa tapak,fear
punta kubo nang si aristus tayo lapit aristus tawag takbo punta direksyon,joy
ngiti nang naia,joy
lamang alam dito malumanay si nathalie anak,joy
date hapon mo lamang alam bahagya pikit mata bilang araw manatili loob yungib mo taon,anger
ngiti kaba uh linggo siguro,fear
saya aral sulat kasaysayan mo ito subok sambit kislap mata sabik,joy
labis saya dulot hinayang si aristus pinakamahina date pisikal kaya ngunit galang executioner lawak alam lahi,joy
si aristus ngiti tingin hiwalay bahagi isla tawag blood chamber pula kulay lupa dulot bulkan keimusho,joy
ganiyan rin lakas pilit ha,anger
kabila sarado isip narinig rin bose loob utak lapit,fear
lamang baliw sina nathalie hiro ora pasok silid,fear
taas temperatura lugar simula ako pawis nang lala,fear
alis kapa naitali rin buhok ngunit para wala lamang kay aristus mukha rin siya komportable suot tela damn monster,anger
hinga lalim pilit manatili kalma oo tagal simula nang huli ako,anger
lalo init kami baba para tunaw balat buto,fear
narinig rin sigaw dae bilanggo dulot sakit ulo,sadness
dugo sabog mukha dilaw buhok takip pula berde mata kislap dilim espasyo balat kilabot nang ngiti,fear
ah tapos lamang tanong sabunot buhok lalaki iangat,anger
ganda balita komento aristus dagdag impormasyon,joy
alam custos lionel ngiti ah taka ano klase dusa bigay,anger
nang kinig salita nginig si dale hirap target ngunit isip gawin miserable buhay,fear
taon mas takot kay kyo sila kasalukuyan una puwersa jikko clan alala ako ba bata sabay,fear
talaga bulong handa farallon bangka,anger
iyan patakaran bata puwede ugnay loob isla,anger
iwan ako isa gitna dagat tanto date bagyo,fear
damn bulong kuha device bigay command,anger
naia bati saya ako kinig sayo pangyayari,joy
tagumpay lipat kriminal command ulat,sadness
rin tiwala si farallon beast alala rin lamang makipagkulitan,joy
nakarinig blood chamber sama si aristus halos nginig katawan nang alala pangyayari,fear
oo para ka balik gale impyerno,fear
tawa tama alala mo ba nang ka doon ka layo vince lugar apekto mata mo,joy
sabi ise payag pasok blood chamber ako bata hina bukod hanga sina vince lionel pangako ako mage alagad ako tanggi,sadness
kabutihangpalad turo ise tago presensya sila tuon kriminal dali lamang sundan,joy
akala ganda pangyayari asa,fear
narinig bose iyak sigaw dusa sakit,fear
para sabog ulo sandali,fear
nang nasa isla narinig bose ganoon lakas ngunit pasok blood chamber tanto payag sanay,fear
bagal ngunit akala kontrol isip ganoon mayroon bagay hirap,fear
sunod alam nakangisi nang hina direksyon pangyayari nang bili tangi nang ako hawak leeg lamang isip sitwasyon,fear
bata labis ako takot kuha bilanggo hostage,fear
leeg dikit dibdib braso katawan bitin dulo kutsilyo baon pisngi simula daloy dugo mukha,fear
takot damdam bago isip katawan,fear
kulay kislap mata marami tao patay tanggal balat gamit kutsilyo tutok,fear
takot daloy katawan sitwasyon kundi kay vince lionel,fear
mata kislap masama balak hampas itak hangin,anger
labas niyo dito lionel titig pa bilanggo kasi takot,anger
agad ako kuha vince alala iyak galit,sadness
wow tiwala tagal ngiti alala buhay vince alis namatay,sadness
oo tangi payat anak,anger
ba gamit halimbawa shinigami tanong sagot si aristus si farallon sugod direksyon,fear
oo bata talim babad dugo shinigami nang,anger
oo iyan totoo ugali tahimik lamang kilos mukha si lionel totoo mas dahas kay vince,anger
naia tawag pasensiya kita usap,sadness
saya ulit kita,joy
ngiti makakaasa sir,joy
hayop anak nga talaga,anger
balik utos bigat presensya labis durog ba bagsak tuhod,fear
mukha tayo kuha bilanggo sunod araw,joy
sandali isip untiunting bago lahi erityian alam ba buti ikasasama,fear
tapos bisita blood chamber narinigg bose tuloy ulit loob utak,sadness
kati laban,anger
sapit gabi isla balot dilim hinala anino lakad tunog metal tama lupa dama hangin executioner kilos damdam pagtaas tensyon loob isla,fear
pagdinig bose dulot nginig katawan,fear
kamay kusa nang hawak espada salag presensya likod,anger
daloy dugo mukha sahig gulo nang ngiti mukha kiyoko,fear
tawa totoo pagige iba radikal karaniwan,joy
tapos pangyayari senshin custos marami kriminal lipat paliwanag plano,fear
oo bakas lungkot silay mukha,sadness
alam mo galit galit,anger
sagi isip mukha vince kilos buo jikko clan nang tanggap balita patay,fear
pangyayari pati kay hideyoshi administrasyon sakit tuloy,anger
tuloy nang putol ise komunikasyon tiwala palit buhay apo,anger
halos lubog puso nang kinig ngalan ise laki sama si vince si ise partikular higpit,sadness
lagi sabi talo hiya jikko,anger
ngiti oo nga labas daw nang lihim isla noon teenager manatili mage pinuno nayon,joy
bagamat labo alaala alala si ise galit galit nang bigla date liham labas,anger
oo palad iwa habol tingin talaga takda mamuno clan pasok tunay mana,sadness
kalma usap kay kiyoko salamat dito,joy
tigil hinga tingin man lamang isip wala siya alam pangyayari team magnus mata tingin puno asa sama loob tapos alala huli sandali,sadness
pasensiya bulong nginig bose,sadness
kunot ekspresyon paliwanag alis tingin damdam laki pressure presensya pilit atra sakal,fear
simula si kiyoko alis nang salita nagbuntunghininga alala nel bait sweet si kiyoko ekspresyon kanina layo doon,sadness
kusa tugon katawan presensya talon balik depensa posisyon tawa nang lakas si kyo,joy
damn ba dito,anger
tawa sobra hirap talaga kumbinsi red,joy
bukod dito keeper dagdag ngiti upang tiyak manatili buhay,joy
banayad ngiti litaw labi tingin oo mas ganito uri buhay,joy
hay dismaya kamot ulo,sadness
yabang mo naman,anger
salamat command nel,joy
bilang segundo tahimik lipa mukha plano,fear
engkwentro nox si nel nag mas para kapitan,joy
well tulog buo doon pagod isip lagi ngunit ngiti lamang,sadness
paliwanag gaano layo romania tapos tawag loko babae iyon putol salita damn basag buto date,anger
asa miss bose nang ganito hintay sama sila,sadness
para iba isa tahimik dagat bilang araw shima,fear
ora lipa tanggap holographic call kay cliff kurap mukha harap ganda kalidad kita takot ekspresyon,fear
hinga nginig pansin higpit rin hawak seatbelt patay,fear
oh come duwag kayo,anger
si cliff nasa passenger seat takot takot bili nang bili sakyan,fear
si nel naman mukha sobra tuwa tapos bilang araw kulong,fear
nasa likod si jett mukha kasi putla tisa,fear
buntunghininga nel tigil mo hirap kaluluwa,anger
tanto tagal tatlo araw date huli sama,sadness
well sabi dalawa sama lamang dala siguro nga talaga,sadness
okay lamang kayo alala alaga kayo,joy
tingin patay date romania,sadness
ekspresyon putol linya ako isa lawak dagat,sadness
ingat kayo shinigami nox base europa,sadness
nasa gitna rin dagat pasipiko abot araw date japan buti lamang ayos gamit,joy
buti lamang naman mukha ordinaryo ligta,joy
ngiti alala takot mukha bilang ora nakaraan,joy
mo ba buhat kita tanong cliff tawa biru tapos biro lamang sampa si nel,joy
si jettt simula nang lakad baka takot gawa kaniya nel,fear
kita niyo ba iyon dilaw puno tanong nang sigaw,anger
sulat jett sabi kay nel titig laki bato,fear
sundan direksyon ngunit hinto nang uwi kweba ba tayo pasok tanong cliff,fear
tagal minuto hanap labas man putol koneksyon kinig,sadness
hello nel cliff jett wala subok tawag ulit sagot,sadness
saglit ako alala isip tabon ba labas kweba,sadness
binato device bangka buntunghininga alam pangyayari wala ako ugnay,sadness
sana ligta,fear
yeah astig bata,joy
si nel masyadong excite ikwento pangyayari pulong tribo,joy
totoo lamang asa mage tagumpay tribo shinigami,joy
neoclassical gusali museo monumento kalat buo lungsod para hila balik medieval arkitektura sin paligid,joy
pasok gusali wala tingin,sadness
hakbang ako kumakalanse loob silid date central hall muntik ako pugot ulo,fear
tanong pitongtalampakang lalaki iginigiya espada,fear
sabay sila sugod dala iba iba armas espada palo baril,fear
bigla puno galit bose dusa isip ba balik shima,anger
puno galit uhaw ulo alam lamang nag kintab sahig puno dugo,anger
loob minuto tangi tira una lalaki kita nginig kamay turo espada direksyon,fear
hakbang balik espada tusok lalamunan,anger
hi bati,joy
bati balik halip puno galit nang pula sahig buhay sama,anger
akala una gawa galaw ngunit tigil nang taon nagmumula likod,fear
lamig dugo nang dalawa bata babae lalaki dahil pito sampu taon gulang tayo harap mata damdam,fear
hinga nang lalim upang kalma ngunit hirap akin,anger
bugso galit usbong dibdib nang utos bata atake,anger
sikip dibdib sugod,anger
nang tingin dalawa bata luhod bagsak,sadness
hayaan kontrol galit,anger
espada puno dugo tinaga direksyon,anger
mura isip bata,anger
tagal bilang segundo upang kalma,anger
tingin paligid ngatog katawan,fear
si nel masid takot titig bloodbath ngunit ekspresyon lambot nang dalawa bata higa malay sahig,fear
buntunghininga palibot patay katawan dugo,sadness
ngiti pasensiya puwede buti keeper,sadness
tira lakas lakad direksyon wakas sama ulit,joy
tapos pangyayari romania silay mas kaba sama,fear
tagal nang pigil likas pagige executioner nang alis isla bilang araw lipa pangako hayaan kontrol emosyon ngunit wala noon misyon,sadness
sabog simula nang hawak baril bilang taon lipa gimagambala rin lagi,sadness
balak mo ba ito bawi akin tanong sobra ba ito delikado kamay,fear
delikado ano sandata mo ba alam gaano takot,fear
pigil ngiti tapos kinig,sadness
,sadness
expresyon itim,anger
damdam tensyon balikat tuloy siya laro baril,fear
ba takot tapos sagot,fear
tingin mas lakas kay nel puna cliff tanggap suntok kay nel,anger
keeper dagdag jett frontline,anger
buntunghininga ngiti,joy
ako gulo bata alam mo nang date headquarters una away command,anger
well laki nang iba alam kilos harap tao,sadness
tuloy bigla buhos hologram kislap bintana eroplano mukha command litaw harap,fear
team optimus gale ako misyon inyo una priyoridad,joy
palit sulyap tango roger,joy
kislap mukha wala dala mensahe bigla puno tensyon hangin,fear
kalabog jett baril handa sakali simula gulo,anger
tingin jett nang alala,fear
nganga nang nakasiksik sahig dalawa pigura dugo si zeno dale pa executive,fear
kita tama bala balikat binti von ngunit tila pansin mas lala sugat fenn lalim siya hiwa kamay haba gash kanan kaliwa pisngi,fear
mas panganib headgear imbento senshin ngunit upang macontain lider nox tagal panganib lalo panganib animus,fear
invisible si dale loob bilang segundo paralisa zeno nerbiyos tao gamit dugo,sadness
tapos nox von tingin kay dale nang sakit ekspresyon,sadness
sigurado ako apekto rin laki sama koponan kampi ngunit ipinagkanulo tingin paniniwala sigurado hirap laban uwi yue,sadness
simula sila dala tungo sasakyang himpapawid bigat paa pasanin responsibilidad,sadness
nagimpok galit nox humdrum lapastangan iral,anger
alam tahimik dulot higit pinsala tribo,fear
dahil dahil punta mali panig sama tuloy,sadness
tapos talumpati batid kasalukuyan pahinga execute sugat natamo,sadness
bigay bago misyon doon team sabi tiwala,joy
una taon haba pahinga isip tapos tayo pader upang protekta isip,joy
puwede normal lider reklamo,anger
tahimik puno silid siguro pagod rin misyon,sadness
tulog nang buti bulong tulog,joy
gise nang gulo kuha device bulsa mensahe kumander,sadness
tingin alam mo dito,anger
pangyayari kuha kay dale zeno ideya gawa tiga ekspresyon,anger
opo sir sagot,sadness
tingin gamit tindi pula mata para blood chamber,fear
kunot noo kumander kalat selula nateleport patay headgear ngunit tiwala hinto laban epekto,anger
taas kilay akala ba misyon,anger
